,52W High,52W Low,52W Range,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volatility,Volume,_id,_rev,Day 1,Day 2,Day 3,Day 4,Day 5
AAOI_11-08-2017,-60.13%,90.34%,21.66 - 103.41,2.70,2.55M,2.89,16.12,3.73,0.08810000000000001,2.90,11-08-2017,0.09,-,-,4.21,0.43%,4721.10%,18.00%,1.02,4.64,43.90%,170.10%,Nov 07 AMC,2776,8.16,40.70%,80.80M,-,Semiconductor - Integrated Circuits,5.40%,-12.60%,84.10%,-2.90%,0.07,759.69M,22.00%,Yes,0.50,2.35,10.16,9.01,9.00,2.06,0.00%,-41.68%,-35.55%,-43.84%,-7.00%,61.65%,61.23%,37.89,41.23,21.90%,2.10,22.70%,32.40%,12.30%,41.14,2.20,7.03,-3.77%,-28.00%,-23.08%,368.60M,112.30%,40.40%,Technology,71.23%,5.16,Yes,18.48M,20.05M,63.11,AAOI,6.36% 5.78%,1290534,AAOI_11-08-2017,1-b386d5a954d47989c7a3abbc100bb253,0.01018675721561979,0.09725927722532157,0.058695124909046825,0.07591559544021353,0.09822944457919003
AAOI_11-02-2017,-59.92%,115.83%,19.20 - 103.41,2.80,2.98M,2.95,16.12,3.93,0.0636,2.90,11-02-2017,0.09,-,-,4.21,0.43%,4721.10%,18.00%,1.02,4.64,43.90%,170.10%,Nov 07 AMC,2776,8.39,40.70%,80.80M,-,Semiconductor - Integrated Circuits,5.50%,-12.99%,81.60%,-5.99%,0.07,740.82M,22.00%,Yes,0.51,2.42,9.90,9.26,8.78,2.01,0.00%,-16.75%,-36.87%,-60.23%,-3.61%,66.25%,103.50%,38.97,41.45,21.90%,2.10,22.70%,32.40%,12.30%,37.20,2.20,2.42,-11.65%,-27.43%,-25.36%,368.60M,112.30%,40.40%,Technology,71.25%,4.41,Yes,18.48M,19.01M,63.11,AAOI,6.61% 5.37%,502412,AAOI_11-02-2017,1-9e8bc59ebb9377aa774019498ade0422,-0.050422195416164106,-0.07889022919179745,-0.005307599517491046,0.004825090470446325,0.09143546441495776
AAP_11-14-2017,-44.89%,24.35%,78.81 - 177.83,2.24,2.28M,0.91,42.36,3.48,0.1911,1.50,11-14-2017,0.33,0.24,0.29%,5.01,18.12%,-30.40%,9.16%,1.22,6.06,3.90%,-3.10%,Nov 14 BMO,41000,13.59,43.80%,370.50M,S&P 500,Auto Parts Stores,0.30%,166.99%,-,4.24%,0.33,6.08B,6.60%,Yes,1.79,1.94,23.62,16.43,20.39,0.64,4.80%,-43.35%,-3.78%,-5.51%,1.95%,-51.35%,-43.26%,82.28,98.00,3.90%,0.30,4.40%,12.40%,12.80%,71.95,2.60,11.08,17.92%,-19.71%,8.49%,9.49B,0.30%,9.20%,Services,10.06%,3.25,Yes,73.55M,73.85M,104.61,AAP,2.53% 2.76%,1754949,AAP_11-14-2017,1-6baf6711a0a8935eab02bd8698742a13,-0.047040816326530566,-0.0685714285714285,-0.08102040816326528,-0.0904081632653061,-0.08357142857142852
ABEO_11-08-2017,-32.09%,281.48%,4.05 - 22.75,1.42,1.23M,2.29,2.21,1.27,0.0785,14.00,11-08-2017,0.00,-,-,-0.60,-11.60%,-0.50%,-,-0.18,-0.77,43.10%,-21.60%,Nov 13 AMC,19,-,-,-23.20M,-,Biotechnology,36.91%,0.00%,39.70%,15.95%,0.00,658.52M,-,Yes,-,6.48,11.30,-,-,823.15,-,142.80%,-18.14%,86.04%,-20.19%,195.36%,158.11%,14.32,15.45,-,14.00,-23.90%,-26.70%,-,44.04,1.70,2.42,-10.87%,78.20%,-4.88%,0.80M,0.00%,-13.50%,Healthcare,22.79%,5.28,Yes,28.57M,45.97M,29.39,ABEO,8.37% 9.27%,214467,ABEO_11-08-2017,1-47c77068df2c04e427caf232f98dcfc1,-0.046601941747572706,-0.029126213592232997,-0.06796116504854366,-0.04207119741100318,0.035598705501618255
ABEO_11-21-2017,-30.55%,290.12%,4.05 - 22.75,1.28,1.27M,2.29,2.23,1.16,0.0748,22.10,11-21-2017,0.00,-,-,-0.65,-17.10%,-67.80%,-,-0.18,-0.82,43.10%,-21.60%,Nov 13,19,-,-,-25.90M,-,Biotechnology,36.91%,0.00%,43.50%,24.92%,0.00,718.83M,-,Yes,-,6.59,12.72,-,-,798.70,-,149.15%,-22.63%,87.26%,0.00%,203.09%,102.76%,14.70,15.80,-,22.10,-25.30%,-27.70%,-,49.62,1.80,0.89,-2.51%,72.79%,-4.69%,0.90M,0.00%,-13.50%,Healthcare,24.16%,5.44,Yes,28.57M,48.90M,28.97,ABEO,9.33% 7.29%,81003,ABEO_11-21-2017,1-d5ef7268113666f67a719ed19116e049,0.0,0.06012658227848089,0.05379746835443022,,
ABUS_11-27-2017,-22.42%,172.34%,2.35 - 8.25,0.40,389.50K,1.12,3.05,1.66,0.0579,11.00,11-27-2017,0.07,-,-,-4.99,-10.80%,42.10%,-,-0.41,-1.44,-52.00%,-438.40%,Nov 02 AMC,122,-,-,-267.20M,-,Biotechnology,2.80%,-0.67%,60.00%,-10.81%,0.07,340.74M,-,Yes,-,2.10,3.86,-,-,42.59,-,93.94%,15.32%,52.38%,11.30%,161.22%,141.51%,6.05,6.40,-,11.00,-,-,-180.60%,57.32,1.90,0.71,9.31%,53.49%,1.31%,8.00M,762.50%,-38.40%,Healthcare,1.50%,1.34,Yes,34.76M,53.24M,9.21,ABUS,5.26% 7.57%,276737,ABUS_11-27-2017,1-4e1bd00fa634018c6914dd99c666fc34,,,,,
ABY_11-02-2017,5.40%,45.65%,16.55 - 22.87,0.36,462.62K,1.11,18.78,7.54,0.0766,2.30,11-02-2017,3.27,1.04,4.64%,0.31,74.63%,820.50%,-,0.45,0.83,-,97.80%,Nov 13 AMC,166,27.11,92.80%,31.10M,-,Electric Utilities,41.55%,0.00%,53.50%,3.50%,3.11,2.23B,42.90%,Yes,-,1.19,2.97,72.23,8.08,2.26,216.80%,10.95%,15.17%,0.90%,1.68%,15.71%,26.21%,22.39,24.10,3.20%,2.30,0.30%,1.70%,5.10%,85.07,2.20,14.83,12.61%,15.47%,16.17%,987.30M,9.10%,-,Utilities,0.94%,1.19,Yes,58.57M,99.50M,22.33,ABY,1.41% 1.89%,476808,ABY_11-02-2017,1-1baebfc57b3f7f19985bea8bb47f0c58,-0.053941908713692976,-0.03775933609958504,-0.0481327800829876,-0.02863070539419088,-0.03568464730290466
ACAD_11-08-2017,-26.82%,24.03%,24.31 - 41.20,1.57,1.50M,3.92,3.40,3.48,-0.0711,10.80,11-08-2017,0.00,-,-,-2.53,23.10%,12.30%,33.10%,-0.62,-1.96,-40.00%,-43.30%,Nov 07 AMC,420,-,88.80%,-305.60M,-,Biotechnology,0.10%,-49.68%,-,-0.01%,0.00,3.89B,-,Yes,-,9.55,9.32,-,-,61.76,-,11.70%,-13.65%,-2.26%,-6.80%,12.55%,41.19%,32.46,30.15,-,10.70,-57.20%,-62.10%,-52.90%,25.25,2.00,6.57,-14.46%,-8.89%,-16.95%,63.00M,31317.50%,53.00%,Healthcare,5.63%,4.50,Yes,119.87M,119.87M,49.11,ACAD,6.07% 4.00%,707755,ACAD_11-08-2017,1-10d0a5f09faa62758a38cff4441a00d6,-0.03283582089552228,-0.07893864013266993,-0.09850746268656718,-0.12106135986733002,-0.09585406301824206
ACET_11-27-2017,-52.23%,29.43%,8.29 - 22.46,0.48,466.23K,1.39,11.70,2.41,0.053,2.10,11-27-2017,0.81,0.26,2.42%,0.21,14.21%,-91.20%,10.00%,0.23,1.23,-11.30%,-70.30%,Nov 02 AMC,286,8.72,21.60%,7.40M,-,Chemicals - Major Diversified,3.20%,-6.94%,81.50%,-3.10%,0.77,333.92M,4.20%,Yes,5.13,0.92,4.45,51.34,4.86,0.48,122.90%,-25.38%,-0.37%,0.09%,6.45%,-51.16%,-45.70%,10.19,10.73,1.10%,1.50,0.70%,1.80%,3.20%,59.97,2.30,0.99,10.15%,-22.00%,1.21%,695.60M,44.80%,7.50%,Basic Materials,6.37%,4.04,Yes,29.56M,31.12M,12.07,ACET,4.54% 5.81%,459832,ACET_11-27-2017,1-42b3488c0aae1329f77a972ade64e21c,,,,,
ACHN_11-16-2017,-41.96%,11.36%,2.95 - 5.66,0.22,1.53M,1.61,2.52,2.34,0.0842,22.70,11-16-2017,0.00,-,-,-0.49,-1.60%,7.20%,17.58%,-0.16,-0.62,8.10%,-35.60%,Nov 02,81,-,-,-66.50M,-,Biotechnology,0.10%,0.00%,98.40%,6.08%,0.00,416.25M,-,Yes,-,1.20,1.29,-,-,27.75,-,-31.29%,-29.70%,-37.91%,-22.11%,-26.63%,-35.26%,3.03,3.29,-,22.70,-17.20%,-17.80%,-16.20%,33.03,2.10,45.40,-15.49%,-21.74%,-20.63%,15.00M,-,127.30%,Healthcare,6.42%,5.73,Yes,136.70M,137.38M,5.92,ACHN,6.71% 5.54%,4834539,ACHN_11-16-2017,1-d4cfc4210810153e222b48ace8414470,0.05167173252279622,0.04863221884498481,0.05775075987841949,0.054711246200607855,-0.015197568389057725
ACHN_11-15-2017,-43.11%,2.22%,3.15 - 5.66,0.18,1.43M,1.61,2.52,2.34,-0.1274,22.70,11-15-2017,0.00,-,-,-0.49,-1.60%,7.20%,17.58%,-0.16,-0.62,8.10%,-35.60%,Nov 02,81,-,-,-66.50M,-,Biotechnology,0.10%,0.00%,98.40%,6.08%,0.00,506.91M,-,Yes,-,1.46,1.58,-,-,33.79,-,-2.38%,-16.14%,-24.39%,-7.29%,-10.65%,-22.15%,3.69,3.22,-,22.70,-17.20%,-17.80%,-16.20%,26.31,2.10,3.93,-18.47%,-23.39%,-22.87%,15.00M,-,127.30%,Healthcare,6.42%,6.12,Yes,136.70M,137.38M,5.92,ACHN,4.21% 4.91%,391486,ACHN_11-15-2017,1-f98a601a2a598c0c7c32f96a4b79bc29,0.021739130434782483,0.07453416149068315,0.0714285714285714,0.08074534161490665,0.07763975155279512
ACIU_11-03-2017,-32.74%,94.86%,6.03 - 17.47,0.49,76.40K,-,2.12,2.27,-0.061500000000000006,21.60,11-03-2017,0.00,-,-,-0.68,-18.00%,-190.00%,-,-0.13,-0.72,-,-137.70%,Nov 08 BMO,67,-,-,-35.70M,-,Biotechnology,62.04%,0.00%,18.20%,-,0.00,685.72M,-,No,-,5.91,5.51,-,-,124.68,-,39.11%,11.59%,86.87%,10.50%,-3.54%,3.90%,12.52,11.75,-,21.60,-24.10%,-26.30%,-7.30%,55.08,1.30,3.02,0.35%,17.31%,11.45%,5.50M,-96.00%,-,Healthcare,3.81%,10.74,Yes,21.55M,54.77M,21.23,ACIU,3.70% 3.76%,16039,ACIU_11-03-2017,1-c70cb3123ff76d2ac1a076122d70f780,0.0034042553191488967,0.019574468085106433,0.019574468085106433,0.019574468085106433,-0.038297872340425476
ACLS_11-03-2017,0.82%,207.24%,11.05 - 33.67,1.17,579.84K,1.07,7.79,3.49,0.0626,4.60,11-03-2017,0.20,-,-,0.91,35.61%,320.00%,20.00%,0.28,1.71,13.80%,-26.80%,Nov 02 AMC,814,18.73,38.40%,29.60M,-,Semiconductor Equipment & Materials,2.30%,-49.99%,77.30%,0.25%,0.20,993.01M,10.10%,Yes,1.76,4.10,9.14,35.11,26.98,3.06,0.00%,48.26%,14.52%,58.96%,-0.62%,119.59%,137.55%,31.95,33.95,9.10%,2.70,9.30%,13.80%,6.70%,74.78,2.20,3.99,8.72%,59.53%,27.39%,324.70M,59.40%,-3.50%,Technology,3.62%,1.92,Yes,30.76M,31.08M,26.20,ACLS,3.93% 3.26%,160847,ACLS_11-03-2017,1-667f4a64c65d75c3aeadfd73e2639c5c,0.02945508100147265,-0.022091310751104598,-0.032400589101620025,-0.013254786450662803,0.020618556701030855
ACLS_11-27-2017,-6.07%,175.10%,12.65 - 37.05,1.43,654.39K,1.11,8.13,3.64,-0.049800000000000004,4.30,11-27-2017,0.19,-,-,1.19,27.03%,409.70%,20.00%,0.39,1.83,13.80%,-26.80%,Nov 02 AMC,814,18.99,38.60%,39.20M,-,Semiconductor Equipment & Materials,1.10%,-58.51%,81.90%,4.95%,0.19,1.09B,11.80%,Yes,1.46,4.28,9.56,29.15,29.18,2.99,0.00%,59.63%,8.24%,71.43%,1.46%,139.18%,152.17%,36.63,34.80,10.80%,2.60,11.50%,17.20%,6.70%,56.73,2.40,1.10,2.22%,53.30%,13.59%,363.50M,59.10%,-3.50%,Technology,5.82%,2.71,Yes,30.51M,31.27M,35.20,ACLS,4.59% 4.44%,717746,ACLS_11-27-2017,1-79d263d19c75d5d820d4729be387c773,,,,,
ACOR_11-01-2017,-14.77%,106.80%,13.60 - 33.00,1.34,767.29K,1.68,15.01,-,0.0583,2.40,11-01-2017,0.00,-,-,-0.94,-59.75%,55.80%,29.00%,0.65,0.70,-24.60%,-401.70%,Oct 31 BMO,597,37.75,78.80%,-42.90M,-,Biotechnology,1.20%,135.72%,-,2.12%,0.48,1.22B,-3.30%,Yes,-,1.77,-,-,54.51,2.28,-,66.09%,2.21%,19.44%,1.82%,41.36%,50.14%,26.58,28.13,-8.00%,2.00,-3.20%,-6.40%,-3.00%,66.92,2.70,0.92,7.31%,31.46%,15.50%,535.10M,9.30%,12.20%,Healthcare,12.01%,7.16,Yes,45.75M,45.94M,22.88,ACOR,7.86% 4.98%,48958,ACOR_11-01-2017,1-cd7ce4f7210678c96fa141f0eecf9603,-0.024173480270174186,-0.025950942054745796,-0.024173480270174186,0.004265908282971909,0.02026306434411662
ACOR_11-15-2017,-46.97%,28.68%,13.60 - 33.00,1.19,771.83K,1.69,14.78,-,-0.37939999999999996,2.80,11-15-2017,0.00,-,-,-1.21,-76.93%,-95.30%,29.00%,1.00,0.40,-24.60%,-401.70%,Oct 31 BMO,597,69.98,78.60%,-55.40M,-,Biotechnology,1.20%,131.49%,-,1.09%,0.49,1.34B,-2.60%,Yes,-,1.91,-,-,19.64,2.47,-,88.00%,8.25%,30.86%,2.55%,50.00%,31.78%,28.20,17.50,-10.20%,2.40,-4.10%,-8.20%,-3.00%,23.30,2.70,48.22,-35.80%,-19.56%,-31.33%,540.50M,4.10%,12.20%,Healthcare,11.25%,6.69,Yes,45.88M,47.42M,26.20,ACOR,3.63% 4.94%,2586149,ACOR_11-15-2017,1-799d6c11bc3d54c717954b60e1444c70,-0.014285714285714235,-0.009714285714285786,0.06000000000000005,0.12857142857142856,0.17428571428571438
ACXM_11-02-2017,-11.15%,23.93%,21.80 - 30.40,0.41,506.35K,1.28,9.58,2.05,0.0958,2.30,11-02-2017,0.31,-,-,-0.02,31.25%,-133.00%,21.60%,0.17,1.05,-37.50%,146.20%,Nov 01 AMC,3260,23.48,46.60%,-1.20M,-,Information Technology Services,3.30%,0.23%,97.40%,0.60%,0.30,1.96B,0.20%,Yes,-,2.57,12.03,-,18.49,2.23,-,-14.91%,-1.12%,-7.92%,-1.28%,-8.02%,4.58%,24.65,27.01,-0.10%,2.30,-0.10%,-0.20%,1.20%,73.99,1.70,4.03,8.30%,2.65%,11.48%,878.00M,-1.10%,-4.90%,Technology,3.77%,5.80,Yes,77.97M,79.59M,32.40,ACXM,1.91% 1.56%,141643,ACXM_11-02-2017,1-e6f839d9d09d0b6c4fcfc02421fdd997,-0.007404664938911565,-0.017030729359496566,-0.024065161051462503,-0.03295075897815625,-0.033320992225101875
ADMS_11-01-2017,8.80%,123.71%,12.10 - 24.88,1.39,1.12M,0.73,4.64,5.73,0.0977,11.80,11-01-2017,0.33,-,-,-2.98,9.30%,-18.90%,-,-0.98,-3.42,-40.70%,3.30%,Nov 09 AMC,72,-,-,-66.10M,-,Drugs - Generic,0.40%,-79.67%,95.40%,-2.22%,0.33,552.19M,-,Yes,-,5.31,4.30,-,-,2760.93,-,44.72%,14.38%,43.62%,36.02%,45.92%,79.48%,24.66,27.07,-,11.80,-45.80%,-52.90%,-46.00%,72.94,1.90,14.36,31.68%,53.21%,32.30%,0.20M,-99.10%,-22.00%,Healthcare,34.05%,6.65,Yes,21.80M,22.39M,39.50,ADMS,9.30% 5.89%,1113231,ADMS_11-01-2017,1-31c617782d1eeac453884e153fb097c6,-0.010343553749538326,0.035463612855559656,0.04950129294421868,0.01256002955301061,-0.0007388252678240947
ADMS_11-03-2017,0.57%,131.65%,12.10 - 27.87,1.54,1.20M,0.73,4.64,5.73,0.067,11.80,11-03-2017,0.33,-,-,-2.98,9.30%,-18.90%,-,-0.98,-3.42,-40.70%,3.30%,Nov 02 AMC,72,-,-,-66.10M,-,Drugs - Generic,0.40%,-79.67%,95.40%,-2.22%,0.33,588.24M,-,Yes,-,5.66,4.58,-,-,2941.19,-,50.98%,18.65%,52.64%,40.78%,55.44%,93.73%,26.27,28.03,-,11.80,-45.80%,-52.90%,-46.00%,74.20,1.90,2.89,34.09%,57.76%,33.83%,0.20M,-99.10%,-22.00%,Healthcare,34.05%,6.19,Yes,21.80M,22.39M,39.50,ADMS,8.51% 6.29%,240845,ADMS_11-03-2017,1-93d256c378af0add7d0f657787a50f98,0.013556903317873736,-0.022119158044951903,-0.0349625401355691,-0.01676774884052812,0.025330003567606063
ADM_10-31-2017,-15.27%,0.87%,40.22 - 47.88,0.50,2.85M,1.12,30.49,1.19,-0.052300000000000006,1.60,10-31-2017,0.40,1.28,2.99%,2.37,14.26%,0.60%,-2.50%,0.56,2.85,3.30%,-27.40%,Oct 31 BMO,31800,15.05,6.20%,1.38B,S&P 500,Farm Products,2.30%,0.00%,75.80%,-0.29%,0.35,24.05B,2.80%,Yes,-,1.40,35.89,18.06,15.98,0.39,52.00%,2.74%,0.71%,-1.13%,-1.74%,-6.22%,-1.79%,42.81,40.57,2.20%,0.90,3.50%,8.00%,4.40%,26.22,3.00,4.73,-6.26%,-6.12%,-5.40%,62.26B,-4.40%,-6.90%,Consumer Goods,2.30%,4.43,Yes,549.62M,561.74M,42.36,ADM,1.39% 1.09%,939021,ADM_10-31-2017,1-c82777f6fc97844f934c627ad497dcc3,-0.0024648755237860476,0.004683263495193435,-0.011584914961794368,-0.02119792950456001,-0.024895242790239025
ADOM_11-20-2017,-74.60%,27.05%,3.66 - 18.31,0.46,179.94K,-,0.05,0.07,-0.049100000000000005,1.70,11-20-2017,1.00,-,-,-0.34,-,-90.90%,-,-,-,-,-77.00%,-,4,-,-,-23.10M,-,Auto Parts,36.41%,0.00%,0.60%,-,0.00,334.92M,-,No,-,97.80,74.43,-,-,-,-,-,16.15%,-62.95%,18.69%,-32.55%,-,4.89,4.65,-,1.50,-406.20%,-,-,45.04,-,0.12,5.99%,-49.35%,-22.66%,0.00M,-,-,Consumer Goods,1.15%,2.76,No,43.29M,68.49M,-,ADOM,6.84% 9.85%,1443,ADOM_11-20-2017,1-2f20672121576bd39d69b410ae7801d0,,,,,
ADOM_11-06-2017,-76.19%,19.13%,3.66 - 18.31,0.53,186.36K,-,0.07,0.10,-0.052199999999999996,1.90,11-06-2017,0.91,-,-,-0.26,-,-512.50%,-,-,-,-,-77.00%,-,4,-,-,-17.40M,-,Auto Parts,36.41%,0.00%,0.10%,95.21%,0.00,330.10M,-,No,-,65.71,47.84,-,-,-,-,-,-31.34%,-29.12%,-4.56%,-36.55%,-,4.60,4.36,-,1.80,-372.10%,-,-,32.25,-,0.18,-14.77%,-54.90%,-43.29%,0.00M,-,-,Consumer Goods,1.14%,2.64,Yes,43.29M,71.76M,-,ADOM,11.56% 11.89%,2391,ADOM_11-06-2017,1-c8a1b7a2db2cc24f0072e23ebfd6f598,0.0665137614678899,0.10779816513761453,0.0665137614678899,,
ADUS_11-14-2017,-23.93%,3.68%,29.90 - 40.75,1.32,27.81K,0.20,14.66,1.37,-0.053399999999999996,3.40,11-14-2017,0.26,-,-,1.53,10.36%,1.70%,15.00%,0.44,1.75,6.10%,3.60%,Nov 06 AMC,2449,18.75,27.20%,17.80M,-,Home Health Care,1.70%,-6.01%,93.80%,1.31%,0.24,380.23M,5.20%,Yes,1.43,2.23,23.91,21.39,115.22,0.91,0.00%,-13.70%,-5.07%,-5.62%,-4.93%,-6.56%,-0.61%,32.75,31.00,3.90%,3.40,6.70%,10.00%,6.10%,31.67,1.50,1.29,-9.67%,-11.41%,-10.32%,417.40M,2.70%,11.70%,Healthcare,1.06%,4.35,Yes,11.40M,11.61M,43.25,ADUS,3.97% 4.10%,2501,ADUS_11-14-2017,1-42d62c71d1cf97043c0a59107f7de001,0.05806451612903207,0.07580645161290334,0.07903225806451619,0.059677419354838834,0.056451612903225756
ADUS_11-02-2017,-21.34%,30.30%,24.60 - 40.75,1.21,29.81K,0.15,14.66,1.39,-0.0762,3.40,11-02-2017,0.26,-,-,1.39,13.35%,1.70%,15.00%,0.41,1.82,6.10%,3.60%,Nov 06 AMC,2449,19.10,27.10%,16.10M,-,Home Health Care,1.70%,-6.39%,93.00%,0.45%,0.24,398.01M,5.60%,Yes,1.67,2.37,25.03,25.02,120.61,0.97,0.00%,-3.61%,-4.54%,2.51%,0.73%,-1.00%,38.52%,34.70,32.06,3.90%,3.40,6.80%,10.10%,6.10%,36.62,1.50,0.11,-8.17%,-8.43%,-7.12%,412.30M,2.70%,11.70%,Healthcare,1.64%,6.29,Yes,11.41M,11.47M,43.25,ADUS,4.77% 3.02%,233,ADUS_11-02-2017,1-338a9d3463560b4424f6c7941eac258a,0.09014348097317537,0.08889582033686816,0.06519026824703666,0.023081721771677888,0.004990642545227519
AEGN_11-02-2017,-9.00%,31.74%,18.43 - 26.68,0.66,219.87K,1.68,17.61,3.24,0.0493,2.60,11-02-2017,0.65,-,-,1.36,22.08%,237.80%,5.00%,0.28,1.27,4.20%,480.60%,Nov 01 AMC,5150,18.28,21.70%,46.80M,-,Heavy Construction,0.30%,0.00%,97.50%,-0.57%,0.60,750.89M,6.30%,Yes,3.41,1.31,7.13,17.03,14.67,0.57,0.00%,12.28%,7.38%,19.83%,3.30%,-2.36%,25.69%,23.14,24.28,3.60%,2.20,3.90%,8.20%,4.80%,70.69,2.40,2.03,7.10%,10.21%,9.05%,1.31B,19.10%,5.70%,Industrial Goods,4.57%,6.63,Yes,31.87M,32.45M,22.71,AEGN,2.84% 2.64%,30961,AEGN_11-02-2017,1-35e14db268633356f4407ed9bf4b1685,0.04983525535420097,0.0687808896210873,0.07495881383855019,0.09967051070840194,0.08484349258649093
AEIS_10-31-2017,-11.85%,80.51%,46.39 - 95.00,2.37,372.28K,1.36,12.18,9.11,-0.1057,5.10,10-31-2017,0.00,-,-,3.76,1.33%,67.10%,47.40%,1.17,4.66,28.40%,42.60%,Oct 30 AMC,1558,20.11,52.60%,150.80M,-,Diversified Electronics,0.90%,-29.66%,96.60%,-0.60%,0.00,3.73B,28.40%,Yes,0.53,7.69,10.28,24.92,21.98,6.47,0.00%,26.49%,15.95%,29.35%,4.01%,71.03%,97.76%,93.64,83.74,27.40%,4.40,26.40%,38.00%,29.50%,44.55,2.60,10.15,-4.81%,16.81%,4.95%,577.10M,39.60%,-1.30%,Technology,3.02%,3.20,Yes,39.46M,39.85M,79.67,AEIS,2.90% 2.35%,262500,AEIS_10-31-2017,1-331cffd0910da084eebad5d3b83c7adc,0.00788153809410086,-0.018987341772151778,-0.0002388344877000126,0.001194172438500285,0.010747551946501233
AEO_11-17-2017,-22.42%,44.09%,10.23 - 19.00,0.45,4.34M,1.08,6.34,1.14,0.055099999999999996,1.70,11-17-2017,0.00,0.50,3.58%,0.96,2.30%,-47.60%,0.30%,0.39,1.16,5.30%,6.30%,Nov 29 BMO,6600,12.06,36.70%,176.90M,-,Apparel Stores,0.20%,-3.83%,87.80%,-0.57%,0.00,2.37B,7.70%,Yes,48.31,2.20,12.30,14.49,10.43,0.65,51.40%,28.76%,7.71%,25.74%,4.33%,-7.91%,-22.30%,13.97,14.74,4.90%,0.80,10.20%,15.30%,17.30%,66.64,2.70,3.20,9.40%,13.03%,9.38%,3.64B,2.70%,3.00%,Services,10.42%,4.00,Yes,166.64M,169.58M,13.76,AEO,3.45% 3.16%,964255,AEO_11-17-2017,1-324719d429434fee7fb68fb29afa1eaa,0.006105834464043447,0.016282225237449044,0.006784260515603879,0.006105834464043447,0.023744911804613356
AFAM_11-08-2017,-12.71%,44.42%,38.05 - 62.95,2.09,132.37K,0.36,33.18,1.53,0.0732,2.40,11-08-2017,0.30,-,-,1.49,24.38%,-26.00%,4.60%,0.39,2.63,-4.10%,-16.90%,Nov 07 AMC,15500,19.49,46.90%,17.40M,-,Home Health Care,6.90%,-7.52%,89.20%,0.72%,0.30,719.87M,4.80%,Yes,7.48,1.54,33.48,34.39,38.29,1.01,0.00%,-10.65%,7.23%,8.47%,15.71%,16.10%,25.95%,51.20,54.95,2.40%,2.40,2.70%,4.60%,4.10%,66.60,2.50,0.95,16.79%,7.48%,13.69%,715.90M,28.70%,13.50%,Healthcare,5.26%,5.06,Yes,12.72M,14.06M,55.00,AFAM,7.52% 3.95%,9086,AFAM_11-08-2017,1-9de61181caedd67a816ddc67978acfcb,-0.04094631483166511,-0.06915377616014562,-0.07097361237488631,-0.05586897179253869,0.0878980891719745
AFAM_11-16-2017,-5.04%,51.94%,39.34 - 62.95,2.16,127.77K,0.36,33.42,1.33,0.1353,2.40,11-16-2017,0.29,-,-,1.20,26.21%,-56.30%,4.60%,0.60,2.66,-4.10%,-16.90%,Nov 07 AMC,15500,19.77,47.00%,15.20M,-,Home Health Care,6.90%,-7.29%,89.00%,0.49%,0.29,757.63M,4.20%,Yes,9.57,1.58,39.67,44.02,45.10,1.01,0.00%,-6.73%,11.66%,8.56%,-2.41%,19.39%,25.06%,52.65,59.78,2.00%,2.40,2.10%,3.60%,4.10%,72.62,2.50,7.97,22.64%,16.56%,22.50%,749.80M,21.10%,13.50%,Healthcare,4.69%,4.67,Yes,12.72M,14.39M,57.17,AFAM,3.63% 4.62%,70807,AFAM_11-16-2017,1-6dd8f23969c1d50049aaafb43074580c,0.039478086316493854,0.006189360990297654,0.009534961525593744,0.05553696888591508,0.07059217129474749
AFAM_11-02-2017,-24.07%,25.62%,38.05 - 62.95,1.69,126.30K,0.43,33.18,1.58,0.1832,2.40,11-02-2017,0.30,-,-,1.49,22.07%,-26.00%,4.60%,0.41,2.63,-4.10%,-16.90%,Nov 07 AMC,15500,15.38,46.90%,17.40M,-,Home Health Care,6.90%,-7.77%,89.30%,0.87%,0.30,548.23M,4.80%,Yes,5.90,1.22,25.50,27.13,29.16,0.77,0.00%,-19.36%,-23.99%,-14.41%,-12.17%,-8.39%,4.12%,40.40,47.80,2.40%,2.40,2.70%,4.60%,4.10%,51.91,2.50,5.90,2.45%,-6.33%,-0.48%,715.90M,28.70%,13.50%,Healthcare,5.26%,5.30,Yes,12.72M,13.57M,55.00,AFAM,4.93% 3.31%,51738,AFAM_11-02-2017,1-1111d952d98c42df90848288a722ecf4,0.0652719665271968,0.07845188284518834,0.14958158995815918,0.10251046025104604,0.07008368200836834
