,52W High,52W Low,52W Range,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volatility,Volume,_id,_rev,Day 1,Day 2,Day 3,Day 4,Day 5
HTGC_11-03-2017,-15.82%,13.40%,11.64 - 15.68,0.17,423.07K,0.85,9.93,1.97,0.0602,-,11-03-2017,0.92,1.24,9.96%,0.92,9.81%,26.80%,5.00%,0.29,1.29,-3.10%,53.70%,Nov 02 AMC,64,9.67,76.90%,71.50M,-,Mortgage Investment,3.10%,0.00%,46.50%,0.11%,0.92,1.02B,56.00%,Yes,2.71,1.25,6.33,13.53,-,5.42,134.70%,-4.23%,-1.74%,-2.58%,0.08%,-11.76%,-7.91%,12.45,13.20,38.20%,-,4.70%,9.00%,7.00%,68.90,2.20,5.85,4.42%,-3.11%,5.39%,187.40M,-41.20%,17.00%,Financial,0.91%,1.73,Yes,80.15M,81.55M,14.43,HTGC,1.67% 1.20%,183925,HTGC_11-03-2017,1-9647258a6cdb44dbcfae1f4129b36b35,0.009848484848484995,0.0386363636363638,0.046969696969697106,0.017424242424242564,0.014393939393939403
HWKN_11-27-2017,-29.65%,12.72%,34.20 - 54.80,1.41,36.83K,0.73,21.28,-,-0.0493,2.50,11-27-2017,0.50,0.88,2.28%,1.77,-,-28.00%,-,-,-,0.50%,23.80%,Nov 08 AMC,659,-,19.00%,18.80M,-,Specialty Chemicals,2.80%,-0.43%,60.60%,0.05%,0.46,403.62M,6.70%,Yes,-,1.81,-,21.77,-,0.82,23.60%,-17.72%,-2.90%,7.68%,1.18%,-28.54%,-18.76%,40.55,38.55,3.80%,1.30,4.40%,8.50%,7.90%,50.86,-,0.85,3.31%,-13.23%,-1.11%,490.10M,3.40%,7.10%,Basic Materials,0.78%,2.04,Yes,9.58M,10.47M,40.00,HWKN,3.53% 4.08%,31142,HWKN_11-27-2017,1-ceaa0f9abab2ba5806c27ff87074b312,,,,,
HYH_11-01-2017,6.82%,55.73%,31.99 - 46.63,0.83,342.33K,-,24.77,3.31,0.18170000000000003,2.00,11-01-2017,0.50,-,-,1.04,7.48%,160.90%,5.21%,0.46,2.10,-22.70%,109.30%,Nov 01 BMO,12000,20.10,35.50%,49.00M,-,Medical Instruments & Supplies,0.40%,0.00%,92.70%,0.07%,0.50,1.97B,5.80%,Yes,7.80,1.70,12.73,40.65,16.44,1.23,0.00%,14.73%,-8.11%,1.13%,-4.96%,13.98%,30.29%,42.15,49.81,3.10%,1.10,2.30%,4.40%,4.30%,72.15,2.60,18.64,12.96%,23.33%,11.19%,1.60B,-0.20%,-0.80%,Healthcare,7.58%,10.31,Yes,46.53M,46.76M,43.00,HYH,2.40% 1.79%,474563,HYH_11-01-2017,1-470c30e046316da40dc59db44278e102,-0.07729371612126079,-0.05199759084521183,-0.05922505520979726,-0.0847219433848625,-0.09034330455731776
HY_11-06-2017,-11.12%,62.18%,51.46 - 93.90,3.07,67.92K,1.04,31.79,16.20,-0.0728,1.70,11-06-2017,0.57,1.21,1.34%,3.58,41.99%,96.60%,15.00%,0.91,5.14,-11.90%,-43.00%,Nov 03 BMO,6500,17.51,17.00%,59.00M,-,Trucks & Other Vehicles,1.30%,-4.30%,72.50%,1.00%,0.44,1.33B,2.00%,Yes,1.68,2.83,5.56,25.13,25.49,0.49,33.00%,25.03%,14.56%,39.57%,12.09%,41.15%,74.88%,90.01,83.46,2.20%,1.10,4.30%,11.90%,5.80%,57.71,2.50,2.04,3.64%,22.19%,10.06%,2.72B,6.20%,0.20%,Consumer Goods,3.13%,2.56,Yes,5.55M,14.81M,77.00,HY,5.57% 3.35%,10664,HY_11-06-2017,1-4fba0529e140dae6a5e8bd701dc29b9b,-0.034028277018931075,-0.04325425353462742,-0.034986820033548804,-0.0418164390127006,-0.03354900551162232
HZO_10-31-2017,-17.76%,40.94%,13.80 - 23.65,0.50,311.01K,0.97,13.75,2.19,0.2796,1.50,10-31-2017,0.72,-,-,0.99,27.91%,0.30%,30.00%,0.11,1.14,30.40%,-52.70%,Oct 31 BMO,1422,13.32,24.80%,24.80M,-,"Specialty Retail, Other",2.30%,-1.52%,93.30%,1.18%,0.00,407.97M,4.40%,Yes,0.51,1.11,6.93,15.31,-,0.40,0.00%,-25.31%,-8.16%,2.01%,-9.25%,-21.45%,-21.24%,15.20,19.45,2.40%,0.30,4.00%,7.70%,5.90%,69.51,1.70,11.75,16.94%,3.88%,20.16%,1.03B,-4.60%,14.40%,Services,10.98%,9.06,Yes,25.66M,26.84M,20.18,HZO,3.79% 2.83%,271777,HZO_10-31-2017,1-f70a79d9536e97b67624665bbcbaf471,-0.04113110539845766,-0.020565552699228773,-0.007712082262210762,0.04370179948586128,0.05141388174807204
H_11-02-2017,5.35%,35.12%,49.57 - 63.58,0.73,801.30K,1.20,30.57,3.71,0.0662,1.30,11-02-2017,0.44,-,-,2.00,-5.49%,38.10%,3.10%,0.19,1.50,17.90%,76.90%,Nov 02 BMO,45000,41.91,22.20%,260.00M,-,Lodging,0.70%,-97.96%,84.30%,0.75%,0.38,7.63B,6.90%,Yes,10.15,2.05,16.91,31.46,24.60,1.67,0.00%,9.44%,4.20%,4.75%,1.77%,13.68%,24.64%,62.82,66.98,5.70%,1.30,3.30%,6.80%,3.90%,86.64,2.70,2.16,8.25%,17.89%,10.27%,4.56B,2.60%,3.70%,Services,3.98%,2.21,Yes,44.51M,121.40M,62.83,H,1.28% 1.07%,128625,H_11-02-2017,1-806feb9eff02afac09fe4a931eeefdc0,-0.00388175574798455,0.03418931024186311,0.04210212003583158,0.029113168109883514,0.038668259181845244
IAG_11-08-2017,-15.93%,92.88%,3.16 - 7.25,0.20,5.27M,-0.59,5.94,1.67,0.06,5.20,11-08-2017,0.00,-,-,1.07,51.79%,-,3.00%,0.01,0.09,-34.60%,106.10%,Nov 07 AMC,4881,67.65,13.30%,500.20M,-,Gold,1.70%,0.00%,76.80%,0.10%,0.14,2.67B,53.30%,Yes,1.79,0.97,3.44,5.38,7.70,2.50,0.00%,40.93%,-9.73%,8.90%,4.74%,49.35%,44.84%,5.75,6.09,46.80%,4.20,13.80%,21.20%,0.10%,56.70,2.40,2.50,6.33%,21.37%,-1.48%,1.07B,18.10%,-10.00%,Basic Materials,0.76%,0.67,Yes,463.18M,464.60M,7.68,IAG,2.81% 3.20%,1014466,IAG_11-08-2017,1-50a2d9235a1d5abc7dd19a7615ea58f3,0.01806239737274229,-0.0377668308702791,-0.07060755336617397,-0.04761904761904767,-0.059113300492610765
IBP_11-03-2017,-9.22%,107.40%,30.75 - 70.25,1.63,152.04K,0.80,5.85,2.91,-0.050300000000000004,2.30,11-03-2017,1.91,-,-,1.30,21.34%,18.40%,24.29%,0.63,2.72,-20.50%,45.30%,Nov 03 BMO,5292,24.71,29.40%,41.00M,-,General Building Materials,2.70%,-47.11%,70.80%,-0.40%,1.81,2.12B,7.50%,Yes,2.13,11.48,23.06,51.69,57.04,2.13,0.00%,28.64%,3.31%,14.40%,1.59%,62.59%,102.87%,67.15,63.78,4.10%,2.00,7.40%,25.10%,14.00%,45.38,1.90,3.52,-3.34%,19.83%,2.90%,997.20M,33.20%,29.30%,Industrial Goods,2.89%,4.02,Yes,21.14M,31.60M,67.33,IBP,2.43% 1.90%,39743,IBP_11-03-2017,1-5a27d6753b21968487d68cf6b1ba9727,0.014738162433364677,-0.04311696456569458,-0.055346503606146125,-0.015365318281593043,-0.010661649419880792
ICHR_11-22-2017,-14.67%,210.45%,9.76 - 35.51,2.15,833.04K,-,7.67,1.60,-0.0634,2.00,11-22-2017,0.35,-,-,4.18,36.86%,918.60%,44.88%,0.68,3.38,-,807.00%,Nov 09 AMC,587,9.59,15.40%,43.10M,-,Semiconductor Equipment & Materials,0.30%,-74.90%,82.70%,-1.28%,0.34,847.89M,7.20%,Yes,0.17,4.22,20.19,7.74,52.99,1.40,0.00%,38.72%,-5.69%,63.30%,17.94%,198.98%,-,32.35,30.30,7.00%,1.00,13.00%,25.20%,13.70%,53.39,1.80,8.93,1.54%,34.62%,5.23%,604.40M,55.60%,-,Technology,5.17%,1.49,Yes,24.10M,26.21M,36.80,ICHR,7.16% 7.50%,571595,ICHR_11-22-2017,1-5e16d4372c7bca8fa6c61788350893a8,-0.040924092409241,-0.0046204620462045876,,,
ICHR_11-21-2017,-10.56%,225.41%,9.76 - 35.51,2.14,814.11K,-,7.67,1.60,0.0506,2.00,11-21-2017,0.35,-,-,4.18,36.86%,918.60%,44.88%,0.68,3.38,-,807.00%,Nov 09 AMC,587,8.96,15.40%,43.10M,-,Semiconductor Equipment & Materials,0.30%,-74.90%,82.70%,-1.28%,0.34,792.33M,7.20%,Yes,0.16,3.94,18.86,7.23,49.52,1.31,0.00%,30.53%,-10.72%,53.06%,4.31%,179.39%,-,30.23,31.76,7.00%,1.00,13.00%,25.20%,13.70%,59.28,1.80,4.41,6.25%,41.60%,10.97%,604.40M,55.60%,-,Technology,5.17%,1.53,Yes,24.10M,26.21M,36.80,ICHR,8.42% 7.40%,275819,ICHR_11-21-2017,1-13fbcb7625cd74ba1b0e9e62b65fbaed,-0.04596977329974816,-0.08501259445843834,-0.05037783375314864,,
ICPT_11-01-2017,-50.55%,21.96%,54.98 - 135.59,3.85,1.54M,-2.07,6.78,22.70,0.08800000000000001,6.60,11-01-2017,2.05,-,-,-15.49,17.20%,-10.10%,7.00%,-3.45,-11.59,-,-75.20%,Nov 01 BMO,456,-,99.50%,-385.40M,-,Biotechnology,3.00%,-6.91%,88.00%,0.49%,2.05,1.49B,-,Yes,-,9.09,2.71,-,-,21.07,-,-45.32%,3.49%,-41.30%,-0.47%,-43.28%,-50.19%,61.63,67.06,-,6.60,-54.40%,-135.20%,-61.30%,43.46,2.60,3.21,1.75%,-38.16%,-18.72%,70.90M,461.80%,69.10%,Healthcare,26.41%,3.07,Yes,17.86M,24.24M,134.11,ICPT,5.72% 5.83%,366084,ICPT_11-01-2017,1-37101ed6b2c41d025334a458569e7bc2,-0.05741127348643005,-0.0697882493289591,-0.01267521622427692,-0.03206084103787665,-0.051446465851476275
ICPT_11-27-2017,-56.40%,7.53%,54.98 - 135.59,2.92,1.64M,-2.02,4.45,19.93,-0.0646,6.00,11-27-2017,3.15,-,-,-14.80,10.00%,19.40%,7.00%,-3.39,-12.09,-,-75.20%,Nov 01 BMO,456,-,99.50%,-369.10M,-,Biotechnology,2.90%,-6.78%,78.90%,-10.07%,3.15,1.46B,-,Yes,-,13.29,2.97,-,-,13.65,-,-45.52%,-0.34%,-47.22%,-2.65%,-45.59%,-48.96%,63.20,59.12,-,6.00,-57.20%,-176.50%,-61.30%,44.11,2.50,0.70,-4.97%,-43.36%,-10.81%,107.10M,694.20%,69.10%,Healthcare,26.55%,2.89,Yes,17.86M,24.72M,132.82,ICPT,4.31% 4.84%,1150690,ICPT_11-27-2017,1-2e4839b129a407607dc0bb5cc2f48f7c,,,,,
IDRA_11-09-2017,-33.45%,46.92%,1.30 - 2.87,0.19,1.98M,1.99,0.50,0.44,0.0791,11.10,11-09-2017,0.01,-,-,-0.35,-4.20%,-29.30%,-,-0.12,-0.50,21.70%,28.70%,Nov 06,62,-,-,-48.60M,-,Biotechnology,0.30%,-,25.80%,-0.11%,0.00,312.79M,-,Yes,-,3.54,4.05,-,-,19.31,-,-4.32%,-34.20%,1.72%,12.74%,18.00%,17.22%,1.77,1.91,-,11.10,-55.10%,-61.10%,-37.30%,47.81,1.70,6.60,-5.62%,-1.60%,-10.32%,16.20M,-33.30%,214.10%,Healthcare,5.41%,4.36,Yes,159.37M,176.72M,5.75,IDRA,9.04% 8.89%,938090,IDRA_11-09-2017,1-fe840796202b3cb16136c76314c0ab2f,0.09947643979057608,0.05235602094240832,0.05759162303664933,0.08376963350785327,0.09424083769633507
IDTI_10-31-2017,5.85%,50.05%,20.50 - 29.06,0.57,1.51M,1.94,5.82,2.72,0.061799999999999994,6.10,10-31-2017,0.62,-,-,0.77,16.96%,-19.40%,7.10%,0.34,1.75,25.00%,-39.90%,Oct 30 AMC,1623,16.60,57.60%,105.00M,-,Semiconductor - Broad Line,1.10%,-21.89%,99.30%,0.28%,0.62,3.81B,15.00%,Yes,5.33,4.98,10.64,37.82,22.47,5.20,0.00%,24.92%,8.99%,13.92%,1.97%,22.96%,39.95%,28.97,30.76,14.50%,5.30,8.70%,14.10%,11.40%,80.58,2.30,7.39,10.36%,22.68%,16.14%,732.80M,2.40%,6.70%,Technology,6.50%,5.59,Yes,129.53M,131.62M,29.17,IDTI,1.92% 1.86%,827553,IDTI_10-31-2017,1-1c4feff9b8e1a09922ca5bb32ec2fdef,0.0019505851755525772,0.007152145643693153,0.0,0.032509752925877766,0.08192457737321202
IDT_11-27-2017,-33.68%,27.51%,12.03 - 23.13,0.55,149.30K,0.97,6.02,5.66,0.0668,1.00,11-27-2017,0.00,0.76,4.95%,0.38,-,-184.20%,-,-,-,-24.10%,-66.00%,Jan 02 AMC,1224,-,15.10%,8.20M,-,Diversified Communication Services,1.30%,300.91%,59.80%,1.18%,0.00,402.52M,0.40%,Yes,-,2.55,2.71,40.26,-,0.27,195.10%,-9.28%,13.13%,5.28%,14.56%,-17.26%,-27.33%,14.38,15.34,0.50%,1.00,1.70%,5.80%,5.20%,67.08,-,1.32,15.46%,3.54%,12.65%,1.50B,7.30%,-0.10%,Technology,4.03%,5.47,Yes,20.25M,26.24M,18.00,IDT,5.81% 3.60%,196521,IDT_11-27-2017,1-89c867f7fb3cd30264f4d438dc9fc52d,,,,,
IDT_11-22-2017,-34.46%,26.02%,12.03 - 23.13,0.39,145.90K,0.98,6.02,6.14,0.0759,1.00,11-22-2017,0.00,0.76,5.39%,0.38,-,-184.20%,-,-,-,-24.10%,-66.00%,Jan 02 AMC,1224,-,15.10%,8.20M,-,Diversified Communication Services,1.30%,326.41%,59.80%,1.29%,0.00,340.84M,0.40%,Yes,-,2.34,2.29,36.98,-,0.23,195.10%,-18.22%,2.70%,2.47%,10.25%,-24.00%,-34.19%,14.09,15.16,0.50%,1.00,1.70%,5.80%,5.20%,73.49,-,8.24,15.18%,2.03%,11.55%,1.50B,7.30%,-0.10%,Technology,4.03%,5.59,Yes,20.25M,24.19M,18.00,IDT,3.62% 2.87%,92299,IDT_11-22-2017,1-f0734a0524dcc71e1adce8a85a91dc1c,-0.05145118733509235,0.01187335092348274,,,
IDT_11-24-2017,-37.83%,19.53%,12.03 - 23.13,0.52,150.19K,0.98,6.02,6.14,-0.0533,1.00,11-24-2017,0.00,0.76,5.29%,0.38,-,-184.20%,-,-,-,-24.10%,-66.00%,Jan 02 AMC,1224,-,15.10%,8.20M,-,Diversified Communication Services,1.30%,326.41%,59.80%,1.29%,0.00,347.85M,0.40%,Yes,-,2.39,2.34,37.74,-,0.23,195.10%,-15.61%,6.20%,1.34%,10.28%,-22.44%,-37.72%,15.19,14.38,0.50%,1.00,1.70%,5.80%,5.20%,59.40,-,0.96,8.57%,-3.09%,5.65%,1.50B,7.30%,-0.10%,Technology,4.03%,5.43,Yes,20.25M,24.19M,18.00,IDT,5.26% 3.41%,143435,IDT_11-24-2017,1-009f40c6daf568a476f42712240f4c2e,0.06675938803894299,,,,
