,52W High,52W Low,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volume,Week,Month,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
GTN_11-06-2017,16.7,7,0.5,915110,3.24,7.97,0.59,-0.0619,3.3,11/6/2017,3.21,,,1.61,0.0534,3.009,0.065,0.22,1.7,0.936,0.502,Nov 06 BMO,3700,9.05,0.408,116700000,,Broadcasting - TV,0.01,0,0.912,-0.0099,3.2,1100000000,0.339,Yes,1.47,1.93,25.94,9.55,6.12,1.26,0,0.1762,-0.0583,0.1245,-0.0032,0.4147,0.8834,15.35,14.4,0.134,3.3,0.042,0.23,0.071,37.27,1.3,3.69,-0.0691,0.0339,-0.0375,872.30M,0.153,0.215,Services,0.0431,2.95,Yes,62540000,71640000,18.57,GTN,259562,0.0263,0.0298,0.027777778,0.03125,0.048611111,0.050694444,0.034722222,0.045138889,0.083333333
GTN_11-30-2017,16.7,9.95,0.59,960960,3.23,8.22,2.43,-0.0619,3.3,11/30/2017,3.12,,,1.82,0.1439,2.995,0.065,0.25,1.81,0.936,0.502,Nov 06 BMO,3700,7.98,0.397,132200000,,Broadcasting - TV,0.0591,0,0.952,0.0299,3.11,1030000000,0.358,Yes,1.22,1.75,5.94,7.91,5.52,1.16,0,0.1613,-0.0751,0.007,-0.1028,0.3272,0.4257,15.35,14.4,0.149,3.3,0.046,0.245,0.071,35.18,1.3,11.88,-0.0702,0.0118,-0.066,886.70M,0.071,0.215,Services,0.0562,3.66,Yes,62540000,71270000,18.86,GTN,11417839,0.0403,0.0374,,,,,,,
GTT_11-02-2017,36.6,20.8,0.63,291520,1.29,5.37,3.18,-0.0496,1.7,11/2/2017,5.05,,,-0.2,2.093,5.413,0.25,-0.02,0.47,0.595,-0.74,Nov 02 BMO,879,76.74,0.491,-8200000,,Diversified Communication Services,0.23,-0.0139,0.649,0.0073,5.01,1490000000,0.045,Yes,,6.76,11.41,,38.74,2.34,,0.2737,0.1067,0.1729,0.0461,0.2626,0.6806,36.3,34.5,-0.013,1.7,-0.007,-0.047,0.041,55.93,1.7,3.14,0.0166,0.1621,0.0731,636.90M,0.445,0.417,Technology,0.0984,10.47,Yes,31010000,41090000,38.22,GTT,68145,0.0199,0.0174,0.011594203,0.030434783,0.062318841,0.068115942,0.075362319,0.085507246,0.071014493
GWPH_11-21-2017,136.95,92.65,2.95,328690,2.66,16.46,14.56,0.0816,10.4,11/21/2017,0.02,,,-5.62,-0.224,-1.858,,-1.67,-7.54,-0.686,-0.302,Dec 04 AMC,496,,0.576,-141500000,,Drug Manufacturers - Major,,,0.837,0.0865,0.02,2950000000,,Yes,,6.97,7.88,,,289.63,,0.0647,0.0663,0.1521,0.0212,0.027,-0.0328,114.77,124.14,,10.2,-0.258,-0.295,-0.159,70.98,2.3,12.34,0.1219,0.1154,0.1322,10.20M,0.043,-0.19,Healthcare,0.1645,10.5,Yes,20980000,25740000,147.88,GWPH,311516,0.0291,0.0285,0.017238602,0.032302239,0.011519252,-0.000563879,-0.028757854,0.002819397,
GWRE_11-29-2017,83.52,49.18,1.83,546530,1.22,11.94,7.69,-0.0558,4.2,11/29/2017,0,,,0.26,0.3033,0.665,0.1714,-0.14,1.24,-0.023,0.388,Nov 29 AMC,1893,61.96,0.628,21200000,,Business Software & Services,0.002,-0.6155,,0.0006,0,5740000000,0.052,Yes,17.47,6.45,10.01,299.46,42.06,11.16,0,0.1278,-0.0057,0.0129,-0.0619,0.5601,0.3373,81.51,76.96,0.041,4.2,0.022,0.025,0.016,38.09,2.1,2.76,-0.0468,0.1207,-0.0251,514.30M,0.283,0.173,Technology,0.0545,7.43,Yes,74550000,74550000,84.63,GWRE,1506927,0.0259,0.0238,-0.033393971,,,,,,
HABT_11-02-2017,19.75,11.77,0.41,439000,,6.04,1.73,-0.2449,1.8,11/2/2017,0.09,,,0.26,0.1348,-0.235,0.2,0.03,0.26,0.235,0.222,Nov 01 AMC,4707,47.32,0.7,5000000,,Restaurants,0.001,0.0398,,0.0579,0.09,322710000,0.04,Yes,2.42,2.04,7.12,48.43,,1.05,0,-0.3568,-0.0644,-0.0766,0.0292,-0.2841,-0.1333,12.35,9.32,0.016,1.7,0.015,0.043,0.08,18.42,2,14.17,-0.2608,-0.3964,-0.2734,307.70M,0.172,0.368,Services,0.2308,7.53,Yes,14330000,26130000,17.25,HABT,462721,0.0291,0.0319,,,,,,,
HALO_11-08-2017,18.43,8.63,0.54,1340000,2.12,0.43,2.09,0.0897,4.1,11/8/2017,3.63,,,-0.93,-4.643,-0.093,0.55,-0.1,-0.79,-0.331,-2.165,Nov 07 AMC,259,,0.758,-120000000,,Biotechnology,0.03,0,0.86,-0.0114,2.84,2400000000,-0.732,Yes,,39.16,8.05,,,17.85,,0.2355,0.0054,0.3312,-0.0502,0.7045,0.8985,16.84,18.35,-0.894,3.9,-0.43,,-0.458,66.57,2.3,5.26,0.0578,0.3253,0.1305,134.20M,0.015,0.212,Healthcare,0.1111,10.22,Yes,122960000,142260000,19.1,HALO,540771,0.0369,0.033,0.013079019,-0.00653951,0.007084469,-0.010899183,0.004359673,-0.003814714,0.015803815
HASI_11-02-2017,25.28,18.02,0.43,286790,0.98,13.04,0.79,-0.0517,,11/2/2017,1.99,1.32,0.0546,0.53,0.112,1.612,0.09,0.33,1.47,0.2704,0.492,Nov 01 AMC,40,16.45,0.427,25400000,,REIT - Diversified,0.026,-0.0139,0.763,-0.0088,1.99,1270000000,0.304,Yes,5.04,1.85,30.44,45.37,,13.96,2.362,0.1087,-0.0094,0.0237,0.0004,0.2733,0.0931,24.18,22.93,0.279,,0.013,0.043,0.01,34.31,1.8,3.63,-0.0577,0.0412,-0.0453,90.90M,0.298,0.624,Financial,0.0608,11.01,Yes,51890000,52490000,27.33,HASI,77486,0.0187,0.0171,0.013083297,0.055385957,0.024858264,0.027911034,0.022241605,0.027911034,0.020061055
HAS_11-13-2017,116.2,77.2,2.03,1510000,0.89,15.63,10.26,0.061,2.5,11/13/2017,0.96,2.28,0.0249,4.69,0.049,0.03,0.0943,1.86,5.24,0.09,0.218,Oct 23 BMO,5400,17.44,0.604,594600000,S&P 500,Toys & Games,0.006,-0.665,0.852,0.0261,0.87,11090000000,0.152,Yes,2.07,5.85,8.91,19.5,31,2.12,0.454,-0.0971,-0.0533,-0.0691,0.0084,0.1756,0.09,91.45,97.03,0.113,2.1,0.118,0.317,0.175,59.02,2.2,7.76,0.0415,-0.0275,0.0229,5.24B,0.066,0.032,Consumer Goods,0.051,3.84,Yes,113800000,121310000,105.67,HAS,901390,0.0211,0.021,-0.001545914,-0.029372359,-0.024219314,-0.004225497,-0.011542822,-0.017211172,-0.016489745
HA_11-29-2017,60.9,32.4,1.54,1390000,1.41,15.81,11.96,0.0497,0.9,11/29/2017,0.6,0.48,0.0117,3.61,-0.1985,-0.271,0.0039,1.02,4.46,1.435,0.463,Oct 19 AMC,6491,9.23,0.344,193900000,,Regional Airlines,0.011,-0.0493,0.967,-0.003,0.53,2130000000,0.13,Yes,29.3,2.61,3.44,11.43,,0.81,0,-0.1914,0.2317,-0.0306,0.0771,-0.2772,-0.2152,39.25,41.2,0.073,0.9,0.069,0.257,0.195,70.04,2.5,1.14,0.1428,-0.0864,0.1031,2.64B,0.071,0.082,Services,0.078,2.89,Yes,51350000,51730000,45.45,HA,1586557,0.0332,0.0365,0.047330097,,,,,,
