,52W High,52W Low,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volume,Week,Month,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
AAOI_11-02-2017,103.41,19.2,2.8,2980000,2.95,16.12,3.93,0.0636,2.9,11/2/2017,0.09,,,4.21,0.0043,47.211,0.18,1.02,4.64,0.439,1.701,Nov 07 AMC,2776,8.39,0.407,80800000,,Semiconductor - Integrated Circuits,0.055,-0.1299,0.816,-0.0599,0.07,740820000,0.22,Yes,0.51,2.42,9.9,9.26,8.78,2.01,0,-0.1675,-0.3687,-0.6023,-0.0361,0.6625,1.035,38.97,41.45,0.219,2.1,0.227,0.324,0.123,37.2,2.2,2.42,-0.1165,-0.2743,-0.2536,368.60M,1.123,0.404,Technology,0.7125,4.41,Yes,18480000,19010000,63.11,AAOI,502412,0.0661,0.0537,-0.050422195,-0.078890229,-0.0053076,0.00482509,0.091435464,0.053075995,0.070205066
AAOI_11-08-2017,103.41,21.66,2.7,2550000,2.89,16.12,3.73,0.0881,2.9,11/8/2017,0.09,,,4.21,0.0043,47.211,0.18,1.02,4.64,0.439,1.701,Nov 07 AMC,2776,8.16,0.407,80800000,,Semiconductor - Integrated Circuits,0.054,-0.126,0.841,-0.029,0.07,759690000,0.22,Yes,0.5,2.35,10.16,9.01,9,2.06,0,-0.4168,-0.3555,-0.4384,-0.07,0.6165,0.6123,37.89,41.23,0.219,2.1,0.227,0.324,0.123,41.14,2.2,7.03,-0.0377,-0.28,-0.2308,368.60M,1.123,0.404,Technology,0.7123,5.16,Yes,18480000,20050000,63.11,AAOI,1290534,0.0636,0.0578,0.010186757,0.097259277,0.058695125,0.075915595,0.098229445,0.084162018,0.092165899
AAP_11-14-2017,177.83,78.81,2.24,2280000,0.91,42.36,3.48,0.1911,1.5,11/14/2017,0.33,0.24,0.0029,5.01,0.1812,-0.304,0.0916,1.22,6.06,0.039,-0.031,Nov 14 BMO,41000,13.59,0.438,370500000,S&P 500,Auto Parts Stores,0.003,1.6699,,0.0424,0.33,6080000000,0.066,Yes,1.79,1.94,23.62,16.43,20.39,0.64,0.048,-0.4335,-0.0378,-0.0551,0.0195,-0.5135,-0.4326,82.28,98,0.039,0.3,0.044,0.124,0.128,71.95,2.6,11.08,0.1792,-0.1971,0.0849,9.49B,0.003,0.092,Services,0.1006,3.25,Yes,73550000,73850000,104.61,AAP,1754949,0.0253,0.0276,-0.047040816,-0.068571429,-0.081020408,-0.090408163,-0.083571429,-0.087244898,-0.089489796
AAP_11-29-2017,177.83,78.81,3.4,1960000,0.91,43.74,4.89,0.0766,1.5,11/29/2017,0.32,0.24,0.0024,4.77,0.1334,-0.156,0.0913,0.62,5.9,0.039,-0.031,Nov 14 BMO,41000,16.93,0.437,353100000,S&P 500,Auto Parts Stores,0.003,1.6616,,0.0016,0.32,7420000000,0.063,Yes,2.3,2.29,20.42,20.96,28.71,0.79,0.05,-0.271,0.2189,0.0324,0.1239,-0.409,-0.4114,92.84,99.95,0.037,0.3,0.042,0.115,0.128,67.86,2.6,1.99,0.1633,-0.1564,0.1216,9.42B,-0.03,0.092,Services,0.1006,3.77,Yes,73580000,74220000,107.97,AAP,3895424,0.0316,0.0317,0.010505253,,,,,,
ABAX_11-30-2017,55.95,43.66,1.62,110060,0.86,12.22,6.48,-0.0556,6.3,11/30/2017,0,0.64,0.0131,1.2,0.2092,-0.432,0.0173,0.25,1.32,0.198,0.059,Oct 24 AMC,584,36.98,0.551,27300000,,Medical Laboratories & Research,0.005,-0.0308,0.994,-0.0003,0,1120000000,0.175,Yes,23.51,3.99,7.53,40.72,55.17,4.91,0.463,-0.0392,0.007,0.0545,-0.0287,-0.0764,-0.0552,51.61,48.74,0.12,5.3,0.088,0.102,0.098,52.22,3.1,1.97,0.0132,0.0094,0.0374,228.10M,0.005,0.077,Healthcare,0.1052,20.77,Yes,21720000,22980000,46.43,ABAX,217147,0.0334,0.0303,,,,,,,
ABEO_11-08-2017,22.75,4.05,1.42,1230000,2.29,2.21,1.27,0.0785,14,11/8/2017,0,,,-0.6,-0.116,-0.005,,-0.18,-0.77,0.431,-0.216,Nov 13 AMC,19,,,-23200000,,Biotechnology,0.3691,0,0.397,0.1595,0,658520000,,Yes,,6.48,11.3,,,823.15,,1.428,-0.1814,0.8604,-0.2019,1.9536,1.5811,14.32,15.45,,14,-0.239,-0.267,,44.04,1.7,2.42,-0.1087,0.782,-0.0488,0.80M,0,-0.135,Healthcare,0.2279,5.28,Yes,28570000,45970000,29.39,ABEO,214467,0.0837,0.0927,-0.046601942,-0.029126214,-0.067961165,-0.042071197,0.035598706,0.022653722,-0.006472492
ABEO_11-21-2017,22.75,4.05,1.28,1270000,2.29,2.23,1.16,0.0748,22.1,11/21/2017,0,,,-0.65,-0.171,-0.678,,-0.18,-0.82,0.431,-0.216,13-Nov,19,,,-25900000,,Biotechnology,0.3691,0,0.435,0.2492,0,718830000,,Yes,,6.59,12.72,,,798.7,,1.4915,-0.2263,0.8726,0,2.0309,1.0276,14.7,15.8,,22.1,-0.253,-0.277,,49.62,1.8,0.89,-0.0251,0.7279,-0.0469,0.90M,0,-0.135,Healthcare,0.2416,5.44,Yes,28570000,48900000,28.97,ABEO,81003,0.0933,0.0729,0,0.060126582,0.053797468,0.098101266,0.053797468,0.094936709,
ABUS_11-28-2017,8.25,2.35,0.42,392610,1.12,3.05,1.66,-0.0781,11,11/28/2017,0.07,,,-4.99,-0.108,0.421,,-0.41,-1.44,-0.52,-4.384,Nov 02 AMC,122,,,-267200000,,Biotechnology,0.028,-0.0067,0.6,-0.1081,0.07,314120000,,Yes,,1.93,3.56,,,39.26,,0.7353,-0.0248,0.3642,0.0351,1.4082,1.1852,6.4,5.9,,11,,,-1.806,49.23,1.9,0.69,0.0047,0.4085,-0.0702,8.00M,7.625,-0.384,Healthcare,0.015,1.33,Yes,34760000,53240000,9.21,ABUS,272139,0.0701,0.0762,-0.076271186,,,,,,
ABUS_11-27-2017,8.25,2.35,0.4,389500,1.12,3.05,1.66,0.0579,11,11/27/2017,0.07,,,-4.99,-0.108,0.421,,-0.41,-1.44,-0.52,-4.384,Nov 02 AMC,122,,,-267200000,,Biotechnology,0.028,-0.0067,0.6,-0.1081,0.07,340740000,,Yes,,2.1,3.86,,,42.59,,0.9394,0.1532,0.5238,0.113,1.6122,1.4151,6.05,6.4,,11,,,-1.806,57.32,1.9,0.71,0.0931,0.5349,0.0131,8.00M,7.625,-0.384,Healthcare,0.015,1.34,Yes,34760000,53240000,9.21,ABUS,276737,0.0526,0.0757,-0.078125,-0.1484375,,,,,
ABUS_11-29-2017,8.25,2.35,0.43,392600,1.12,3.05,1.66,-0.0763,11,11/29/2017,0.07,,,-4.99,-0.108,0.421,,-0.41,-1.44,-0.52,-4.384,Nov 02 AMC,122,,,-267200000,,Biotechnology,0.028,-0.0067,0.6,-0.1081,0.07,290160000,,Yes,,1.79,3.29,,,36.27,,0.6029,-0.0917,0.2749,-0.0684,1.2245,1.0566,5.9,5.45,,11,,,-1.806,40.85,1.9,1.01,-0.0712,0.296,-0.1418,8.00M,7.625,-0.384,Healthcare,0.015,1.33,Yes,34760000,53240000,9.21,ABUS,395684,0.0814,0.0783,,,,,,,
ABY_11-02-2017,22.87,16.55,0.36,462620,1.11,18.78,7.54,0.0766,2.3,11/2/2017,3.27,1.04,0.0464,0.31,0.7463,8.205,,0.45,0.83,,0.978,Nov 13 AMC,166,27.11,0.928,31100000,,Electric Utilities,0.4155,0,0.535,0.035,3.11,2230000000,0.429,Yes,,1.19,2.97,72.23,8.08,2.26,2.168,0.1095,0.1517,0.009,0.0168,0.1571,0.2621,22.39,24.1,0.032,2.3,0.003,0.017,0.051,85.07,2.2,14.83,0.1261,0.1547,0.1617,987.30M,0.091,,Utilities,0.0094,1.19,Yes,58570000,99500000,22.33,ABY,476808,0.0141,0.0189,-0.053941909,-0.037759336,-0.04813278,-0.028630705,-0.035684647,-0.02406639,-0.02406639
ACAD_11-08-2017,41.2,24.31,1.57,1500000,3.92,3.4,3.48,-0.0711,10.8,11/8/2017,0,,,-2.53,0.231,0.123,0.331,-0.62,-1.96,-0.4,-0.433,Nov 07 AMC,420,,0.888,-305600000,,Biotechnology,0.001,-0.4968,,-0.0001,0,3890000000,,Yes,,9.55,9.32,,,61.76,,0.117,-0.1365,-0.0226,-0.068,0.1255,0.4119,32.46,30.15,,10.7,-0.572,-0.621,-0.529,25.25,2,6.57,-0.1446,-0.0889,-0.1695,63.00M,313.175,0.53,Healthcare,0.0563,4.5,Yes,119870000,119870000,49.11,ACAD,707755,0.0607,0.04,-0.032835821,-0.07893864,-0.098507463,-0.12106136,-0.095854063,-0.090878939,-0.072305141
ACET_11-27-2017,22.46,8.29,0.48,466230,1.39,11.7,2.41,0.053,2.1,11/27/2017,0.81,0.26,0.0242,0.21,0.1421,-0.912,0.1,0.23,1.23,-0.113,-0.703,Nov 02 AMC,286,8.72,0.216,7400000,,Chemicals - Major Diversified,0.032,-0.0694,0.815,-0.031,0.77,333920000,0.042,Yes,5.13,0.92,4.45,51.34,4.86,0.48,1.229,-0.2538,-0.0037,0.0009,0.0645,-0.5116,-0.457,10.19,10.73,0.011,1.5,0.007,0.018,0.032,59.97,2.3,0.99,0.1015,-0.22,0.0121,695.60M,0.448,0.075,Basic Materials,0.0637,4.04,Yes,29560000,31120000,12.07,ACET,459832,0.0454,0.0581,-0.006523765,-0.012115564,-0.011183597,,,,
ACHN_11-16-2017,5.66,2.95,0.22,1530000,1.61,2.52,2.34,0.0842,22.7,11/16/2017,0,,,-0.49,-0.016,0.072,0.1758,-0.16,-0.62,0.081,-0.356,2-Nov,81,,,-66500000,,Biotechnology,0.001,0,0.984,0.0608,0,416250000,,Yes,,1.2,1.29,,,27.75,,-0.3129,-0.297,-0.3791,-0.2211,-0.2663,-0.3526,3.03,3.29,,22.7,-0.172,-0.178,-0.162,33.03,2.1,45.4,-0.1549,-0.2174,-0.2063,15.00M,,1.273,Healthcare,0.0642,5.73,Yes,136700000,137380000,5.92,ACHN,4834539,0.0671,0.0554,0.051671733,0.048632219,0.05775076,0.054711246,-0.015197568,-0.006079027,-0.012158055
ACHN_11-15-2017,5.66,3.15,0.18,1430000,1.61,2.52,2.34,-0.1274,22.7,11/15/2017,0,,,-0.49,-0.016,0.072,0.1758,-0.16,-0.62,0.081,-0.356,2-Nov,81,,,-66500000,,Biotechnology,0.001,0,0.984,0.0608,0,506910000,,Yes,,1.46,1.58,,,33.79,,-0.0238,-0.1614,-0.2439,-0.0729,-0.1065,-0.2215,3.69,3.22,,22.7,-0.172,-0.178,-0.162,26.31,2.1,3.93,-0.1847,-0.2339,-0.2287,15.00M,,1.273,Healthcare,0.0642,6.12,Yes,136700000,137380000,5.92,ACHN,391486,0.0421,0.0491,0.02173913,0.074534161,0.071428571,0.080745342,0.077639752,0.00621118,0.01552795
ACIU_11-03-2017,17.47,6.03,0.49,76400,,2.12,2.27,-0.0615,21.6,11/3/2017,0,,,-0.68,-0.18,-1.9,,-0.13,-0.72,,-1.377,Nov 08 BMO,67,,,-35700000,,Biotechnology,0.6204,0,0.182,,0,685720000,,No,,5.91,5.51,,,124.68,,0.3911,0.1159,0.8687,0.105,-0.0354,0.039,12.52,11.75,,21.6,-0.241,-0.263,-0.073,55.08,1.3,3.02,0.0035,0.1731,0.1145,5.50M,-0.96,,Healthcare,0.0381,10.74,Yes,21550000,54770000,21.23,ACIU,16039,0.037,0.0376,0.003404255,0.019574468,0.019574468,0.019574468,-0.038297872,-0.102978723,-0.081702128
ACLS_11-03-2017,33.67,11.05,1.17,579840,1.07,7.79,3.49,0.0626,4.6,11/3/2017,0.2,,,0.91,0.3561,3.2,0.2,0.28,1.71,0.138,-0.268,Nov 02 AMC,814,18.73,0.384,29600000,,Semiconductor Equipment & Materials,0.023,-0.4999,0.773,0.0025,0.2,993010000,0.101,Yes,1.76,4.1,9.14,35.11,26.98,3.06,0,0.4826,0.1452,0.5896,-0.0062,1.1959,1.3755,31.95,33.95,0.091,2.7,0.093,0.138,0.067,74.78,2.2,3.99,0.0872,0.5953,0.2739,324.70M,0.594,-0.035,Technology,0.0362,1.92,Yes,30760000,31080000,26.2,ACLS,160847,0.0393,0.0326,0.029455081,-0.022091311,-0.032400589,-0.013254786,0.020618557,0,0.020618557
ACLS_11-29-2017,37.05,12.65,1.65,673200,1.11,8.13,3.64,-0.0763,4.3,11/29/2017,0.19,,,1.19,0.2703,4.097,0.2,0.39,1.83,0.138,-0.268,Nov 02 AMC,814,17.66,0.386,39200000,,Semiconductor Equipment & Materials,0.011,-0.5851,0.819,0.0495,0.19,1010000000,0.118,Yes,1.36,3.98,8.89,27.11,27.14,2.79,0,0.4518,0.0086,0.549,-0.1154,1.2251,1.3718,35.05,32.38,0.108,2.6,0.115,0.172,0.067,44.94,2.4,1.44,-0.0566,0.4145,0.0418,363.50M,0.591,-0.035,Technology,0.0582,2.64,Yes,30510000,31270000,35.2,ACLS,972751,0.0691,0.0513,-0.011735639,,,,,,
ACLS_11-27-2017,37.05,12.65,1.43,654390,1.11,8.13,3.64,-0.0498,4.3,11/27/2017,0.19,,,1.19,0.2703,4.097,0.2,0.39,1.83,0.138,-0.268,Nov 02 AMC,814,18.99,0.386,39200000,,Semiconductor Equipment & Materials,0.011,-0.5851,0.819,0.0495,0.19,1090000000,0.118,Yes,1.46,4.28,9.56,29.15,29.18,2.99,0,0.5963,0.0824,0.7143,0.0146,1.3918,1.5217,36.63,34.8,0.108,2.6,0.115,0.172,0.067,56.73,2.4,1.1,0.0222,0.533,0.1359,363.50M,0.591,-0.035,Technology,0.0582,2.71,Yes,30510000,31270000,35.2,ACLS,717746,0.0459,0.0444,0.007183908,-0.06954023,-0.08045977,,,,
ACOR_11-01-2017,33,13.6,1.34,767290,1.68,15.01,,0.0583,2.4,11/1/2017,0,,,-0.94,-0.5975,0.558,0.29,0.65,0.7,-0.246,-4.017,Oct 31 BMO,597,37.75,0.788,-42900000,,Biotechnology,0.012,1.3572,,0.0212,0.48,1220000000,-0.033,Yes,,1.77,,,54.51,2.28,,0.6609,0.0221,0.1944,0.0182,0.4136,0.5014,26.58,28.13,-0.08,2,-0.032,-0.064,-0.03,66.92,2.7,0.92,0.0731,0.3146,0.155,535.10M,0.093,0.122,Healthcare,0.1201,7.16,Yes,45750000,45940000,22.88,ACOR,48958,0.0786,0.0498,-0.02417348,-0.025950942,-0.02417348,0.004265908,0.020263064,-0.017063633,-0.015286171
ACOR_11-15-2017,33,13.6,1.19,771830,1.69,14.78,,-0.3794,2.8,11/15/2017,0,,,-1.21,-0.7693,-0.953,0.29,1,0.4,-0.246,-4.017,Oct 31 BMO,597,69.98,0.786,-55400000,,Biotechnology,0.012,1.3149,,0.0109,0.49,1340000000,-0.026,Yes,,1.91,,,19.64,2.47,,0.88,0.0825,0.3086,0.0255,0.5,0.3178,28.2,17.5,-0.102,2.4,-0.041,-0.082,-0.03,23.3,2.7,48.22,-0.358,-0.1956,-0.3133,540.50M,0.041,0.122,Healthcare,0.1125,6.69,Yes,45880000,47420000,26.2,ACOR,2586149,0.0363,0.0494,-0.014285714,-0.009714286,0.06,0.128571429,0.174285714,0.171428571,0.142857143
ACXM_11-02-2017,30.4,21.8,0.41,506350,1.28,9.58,2.05,0.0958,2.3,11/2/2017,0.31,,,-0.02,0.3125,-1.33,0.216,0.17,1.05,-0.375,1.462,Nov 01 AMC,3260,23.48,0.466,-1200000,,Information Technology Services,0.033,0.0023,0.974,0.006,0.3,1960000000,0.002,Yes,,2.57,12.03,,18.49,2.23,,-0.1491,-0.0112,-0.0792,-0.0128,-0.0802,0.0458,24.65,27.01,-0.001,2.3,-0.001,-0.002,0.012,73.99,1.7,4.03,0.083,0.0265,0.1148,878.00M,-0.011,-0.049,Technology,0.0377,5.8,Yes,77970000,79590000,32.4,ACXM,141643,0.0191,0.0156,-0.007404665,-0.017030729,-0.024065161,-0.032950759,-0.033320992,-0.034061459,-0.039614957
ADAP_11-30-2017,9.29,3.76,0.49,344010,,2.45,2.51,0.0588,3.7,11/30/2017,0,,,-0.75,-0.08,0.964,0.135,-0.23,-0.81,,-2.371,Nov 02 BMO,298,,,-58300000,,Biotechnology,0.003,0,0.61,0.0458,0,763500000,,Yes,,3.38,3.29,,,18.14,,0.5564,0.0548,0.1829,0.021,1.0444,0.9856,7.82,8.28,,3.7,-0.215,-0.28,-0.444,54.15,2,1.97,0.0346,0.3864,0.0467,42.10M,9.735,,Healthcare,0.084,2.75,Yes,11250000,92210000,10.5,ADAP,678715,0.0724,0.0614,,,,,,,
ADAP_11-29-2017,9.29,3.76,0.47,348090,,2.45,2.51,-0.0498,3.7,11/29/2017,0,,,-0.75,-0.08,0.964,0.135,-0.23,-0.81,,-2.371,Nov 02 BMO,298,,,-58300000,,Biotechnology,0.003,0,0.61,0.0458,0,721080000,,Yes,,3.19,3.11,,,17.13,,0.4375,-0.0101,0.2552,-0.0082,0.9309,0.7813,8.23,7.82,,3.7,-0.215,-0.28,-0.444,45.25,2,0.58,-0.023,0.3134,-0.0126,42.10M,9.735,,Healthcare,0.084,2.72,Yes,11250000,92210000,10.5,ADAP,201258,0.0644,0.0594,0.058823529,,,,,,
ADMS_11-03-2017,27.87,12.1,1.54,1200000,0.73,4.64,5.73,0.067,11.8,11/3/2017,0.33,,,-2.98,0.093,-0.189,,-0.98,-3.42,-0.407,0.033,Nov 02 AMC,72,,,-66100000,,Drugs - Generic,0.004,-0.7967,0.954,-0.0222,0.33,588240000,,Yes,,5.66,4.58,,,2941.19,,0.5098,0.1865,0.5264,0.4078,0.5544,0.9373,26.27,28.03,,11.8,-0.458,-0.529,-0.46,74.2,1.9,2.89,0.3409,0.5776,0.3383,0.20M,-0.991,-0.22,Healthcare,0.3405,6.19,Yes,21800000,22390000,39.5,ADMS,240845,0.0851,0.0629,0.013556903,-0.022119158,-0.03496254,-0.016767749,0.025330004,-0.083125223,-0.01748127
ADMS_11-01-2017,24.88,12.1,1.39,1120000,0.73,4.64,5.73,0.0977,11.8,11/1/2017,0.33,,,-2.98,0.093,-0.189,,-0.98,-3.42,-0.407,0.033,Nov 09 AMC,72,,,-66100000,,Drugs - Generic,0.004,-0.7967,0.954,-0.0222,0.33,552190000,,Yes,,5.31,4.3,,,2760.93,,0.4472,0.1438,0.4362,0.3602,0.4592,0.7948,24.66,27.07,,11.8,-0.458,-0.529,-0.46,72.94,1.9,14.36,0.3168,0.5321,0.323,0.20M,-0.991,-0.22,Healthcare,0.3405,6.65,Yes,21800000,22390000,39.5,ADMS,1113231,0.093,0.0589,-0.010343554,0.035463613,0.049501293,0.01256003,-0.000738825,0.018101219,0.06169191
ADM_10-31-2017,47.88,40.22,0.5,2850000,1.12,30.49,1.19,-0.0523,1.6,10/31/2017,0.4,1.28,0.0299,2.37,0.1426,0.006,-0.025,0.56,2.85,0.033,-0.274,Oct 31 BMO,31800,15.05,0.062,1380000000,S&P 500,Farm Products,0.023,0,0.758,-0.0029,0.35,24050000000,0.028,Yes,,1.4,35.89,18.06,15.98,0.39,0.52,0.0274,0.0071,-0.0113,-0.0174,-0.0622,-0.0179,42.81,40.57,0.022,0.9,0.035,0.08,0.044,26.22,3,4.73,-0.0626,-0.0612,-0.054,62.26B,-0.044,-0.069,Consumer Goods,0.023,4.43,Yes,549620000,561740000,42.36,ADM,939021,0.0139,0.0109,-0.002464876,0.004683263,-0.011584915,-0.02119793,-0.024895243,-0.016021691,-0.014542766
ADMS_11-30-2017,37.33,13.5,2.1,1060000,0.84,3.81,5.44,0.0578,8.3,11/30/2017,0.41,,,-3.36,-0.078,-0.578,,-1.18,-4.17,-0.407,0.033,Nov 02 AMC,84,,,-75100000,,Drugs - Generic,0.003,-0.8374,,0.1072,0.41,844050000,,Yes,,9.75,6.82,,,4768.63,,1.2008,0.5065,0.7741,0.106,1.1982,1.4767,35.12,37.15,,8.3,-0.538,-0.68,-0.46,79.82,1.9,1.14,0.2682,0.958,0.5378,0.18M,-0.991,-0.22,Healthcare,0.3803,7.9,Yes,22040000,22720000,48.86,ADMS,1209570,0.0659,0.0686,,,,,,,
ADOM_11-20-2017,18.31,3.66,0.46,179940,,0.05,0.07,-0.0491,1.7,11/20/2017,1,,,-0.34,,-0.909,,,,,-0.77,,4,,,-23100000,,Auto Parts,0.3641,0,0.006,,0,334920000,,No,,97.8,74.43,,,,,,0.1615,-0.6295,0.1869,-0.3255,,4.89,4.65,,1.5,-4.062,,,45.04,,0.12,0.0599,-0.4935,-0.2266,0.00M,,,Consumer Goods,0.0115,2.76,No,43290000,68490000,,ADOM,1443,0.0684,0.0985,,,,,,,
ADOM_11-06-2017,18.31,3.66,0.53,186360,,0.07,0.1,-0.0522,1.9,11/6/2017,0.91,,,-0.26,,-5.125,,,,,-0.77,,4,,,-17400000,,Auto Parts,0.3641,0,0.001,0.9521,0,330100000,,No,,65.71,47.84,,,,,,-0.3134,-0.2912,-0.0456,-0.3655,,4.6,4.36,,1.8,-3.721,,,32.25,,0.18,-0.1477,-0.549,-0.4329,0.00M,,,Consumer Goods,0.0114,2.64,Yes,43290000,71760000,,ADOM,2391,0.1156,0.1189,0.066513761,0.107798165,0.066513761,,,,
ADRO_11-29-2017,14.05,6.01,0.47,498800,,3.41,4.44,0.0514,10.6,11/29/2017,0,,,-1.36,-0.091,0.394,-0.018,-0.36,-1.44,,-0.594,1-Nov,173,,,-95300000,,Biotechnology,0.011,-0.4749,0.507,0.2823,0,715120000,,Yes,,2.7,2.07,,,41.1,,-0.0707,0.1152,-0.2269,0.0055,-0.193,-0.2581,8.75,9.2,,10.6,-0.211,-0.393,-0.411,55.97,1.7,0.84,0.102,-0.1303,-0.0125,17.40M,0,,Healthcare,0.1111,11.64,Yes,52250000,77730000,17.2,ADRO,417701,0.0385,0.0704,0.032608696,,,,,,
ADSK_11-29-2017,131.1,68.06,3.78,1640000,1.98,1.44,7.78,-0.1586,1.2,11/29/2017,5.02,,,-2.67,3.259,-0.491,,-0.13,1.22,-0.328,-0.787,Nov 28 AMC,9000,89.77,0.838,-589800000,S&P 500,Technical & System Software,0.003,-0.3235,0.984,0.0095,5.02,24000000000,-0.263,Yes,,75.93,14.05,,,12.27,,-0.0326,-0.1176,-0.0349,-0.1438,0.4774,0.4528,129.95,109.34,-0.302,1.2,-0.128,-0.901,-0.251,26.96,1.9,11.86,-0.1303,0.0403,-0.0902,1.96B,-0.089,-0.017,Technology,0.0167,2.23,Yes,218410000,219500000,131.9,ADSK,19452455,0.0297,0.0196,0.003292482,,,,,,
ADUS_11-02-2017,40.75,24.6,1.21,29810,0.15,14.66,1.39,-0.0762,3.4,11/2/2017,0.26,,,1.39,0.1335,0.017,0.15,0.41,1.82,0.061,0.036,Nov 06 AMC,2449,19.1,0.271,16100000,,Home Health Care,0.017,-0.0639,0.93,0.0045,0.24,398010000,0.056,Yes,1.67,2.37,25.03,25.02,120.61,0.97,0,-0.0361,-0.0454,0.0251,0.0073,-0.01,0.3852,34.7,32.06,0.039,3.4,0.068,0.101,0.061,36.62,1.5,0.11,-0.0817,-0.0843,-0.0712,412.30M,0.027,0.117,Healthcare,0.0164,6.29,Yes,11410000,11470000,43.25,ADUS,233,0.0477,0.0302,0.090143481,0.08889582,0.065190268,0.023081722,0.004990643,-0.033063007,0.023081722
ADUS_11-14-2017,40.75,29.9,1.32,27810,0.2,14.66,1.37,-0.0534,3.4,11/14/2017,0.26,,,1.53,0.1036,0.017,0.15,0.44,1.75,0.061,0.036,Nov 06 AMC,2449,18.75,0.272,17800000,,Home Health Care,0.017,-0.0601,0.938,0.0131,0.24,380230000,0.052,Yes,1.43,2.23,23.91,21.39,115.22,0.91,0,-0.137,-0.0507,-0.0562,-0.0493,-0.0656,-0.0061,32.75,31,0.039,3.4,0.067,0.1,0.061,31.67,1.5,1.29,-0.0967,-0.1141,-0.1032,417.40M,0.027,0.117,Healthcare,0.0106,4.35,Yes,11400000,11610000,43.25,ADUS,2501,0.0397,0.041,0.058064516,0.075806452,0.079032258,0.059677419,0.056451613,0.048387097,0.040322581
AEGN_11-02-2017,26.68,18.43,0.66,219870,1.68,17.61,3.24,0.0493,2.6,11/2/2017,0.65,,,1.36,0.2208,2.378,0.05,0.28,1.27,0.042,4.806,Nov 01 AMC,5150,18.28,0.217,46800000,,Heavy Construction,0.003,0,0.975,-0.0057,0.6,750890000,0.063,Yes,3.41,1.31,7.13,17.03,14.67,0.57,0,0.1228,0.0738,0.1983,0.033,-0.0236,0.2569,23.14,24.28,0.036,2.2,0.039,0.082,0.048,70.69,2.4,2.03,0.071,0.1021,0.0905,1.31B,0.191,0.057,Industrial Goods,0.0457,6.63,Yes,31870000,32450000,22.71,AEGN,30961,0.0284,0.0264,0.049835255,0.06878089,0.074958814,0.099670511,0.084843493,0.10461285,0.094728171
AEIS_10-31-2017,95,46.39,2.37,372280,1.36,12.18,9.11,-0.1057,5.1,10/31/2017,0,,,3.76,0.0133,0.671,0.474,1.17,4.66,0.284,0.426,Oct 30 AMC,1558,20.11,0.526,150800000,,Diversified Electronics,0.009,-0.2966,0.966,-0.006,0,3730000000,0.284,Yes,0.53,7.69,10.28,24.92,21.98,6.47,0,0.2649,0.1595,0.2935,0.0401,0.7103,0.9776,93.64,83.74,0.274,4.4,0.264,0.38,0.295,44.55,2.6,10.15,-0.0481,0.1681,0.0495,577.10M,0.396,-0.013,Technology,0.0302,3.2,Yes,39460000,39850000,79.67,AEIS,262500,0.029,0.0235,0.007881538,-0.018987342,-0.000238834,0.001194172,0.010747552,0.013732983,-0.005970862
AEIS_11-29-2017,95,51.56,3.14,398460,1.36,13.78,9.29,-0.0953,5.9,11/29/2017,0,,,5.12,0.0604,1.871,0.474,1.22,4.97,0.284,0.426,Oct 30 AMC,1558,15.29,0.526,205500000,,Diversified Electronics,0.007,-0.2898,0.967,-0.013,0,3020000000,0.289,Yes,0.31,5.51,8.17,14.84,17.45,4.82,0,-0.0278,-0.189,0.0394,-0.113,0.387,0.3493,83.94,75.94,0.338,5.1,0.328,0.455,0.295,34.09,2.6,1.91,-0.094,0.0245,-0.0964,627.10M,0.395,-0.013,Technology,0.0332,3.26,Yes,39180000,39790000,88.33,AEIS,759675,0.0424,0.0389,-0.012773242,,,,,,
AEO_11-28-2017,18.93,10.23,0.53,3750000,1.08,6.34,1.1,0.0563,1.7,11/28/2017,0,0.5,0.0314,0.96,0.0248,-0.476,0.003,0.38,1.16,0.053,0.063,Dec 06 BMO,6600,13.8,0.367,176900000,,Apparel Stores,0.002,-0.0372,0.873,-0.0098,0,2790000000,0.077,Yes,55.12,2.51,14.47,16.54,12.27,0.76,0.514,0.3861,0.1584,0.2803,0.0459,0.0508,-0.1337,15.09,15.94,0.049,0.8,0.102,0.153,0.173,70.26,2.7,1.45,0.1543,0.2231,0.162,3.64B,0.027,0.03,Services,0.1042,4.63,Yes,166640000,174780000,13.94,AEO,5446115,0.0381,0.0353,0.031367629,0.008782936,,,,,
